describe,evaluate,introduce,movie_name,serial_number,star
安东尼·霍普金斯的顶级表演。,636334人评价,1991/美国/剧情犯罪惊悚,沉默的羔羊,79,8.8
警察抓小偷，老鼠玩死猫。,734212人评价,1995/美国/剧情犯罪悬疑惊悚,七宗罪,80,8.8
人的命运被自己瞬间的抉择改变。,701284人评价,2004/美国加拿大/剧情悬疑科幻惊悚,蝴蝶效应,81,8.8
昔日翩翩少年，今日大腹便便。,707345人评价,2010/美国/剧情悬疑惊悚,禁闭岛,82,8.8
人生中应该拥有这样的一段豁然开朗。,527141人评价,1997/美国/剧情,心灵捕手,83,8.9
小清新的故事里注入了大历史的情怀。,664967人评价,2014/美国德国英国/剧情喜剧冒险,布达佩斯大饭店,84,8.8
爱情纠缠，男女一致。,470879人评价,1997/中国香港日本韩国/剧情爱情同性,春光乍泄,85,8.9
以戏谑来戏谑戏谑。,559743人评价,2006/日本/剧情歌舞,被嫌弃的松子的一生,86,8.9
大时代中的人生，小人物的悲喜。,211838人评价,1936/美国/剧情喜剧爱情,摩登时代,87,9.3
绝对意义上的美轮美奂。,994646人评价,2009/美国英国/动作科幻冒险,阿凡达,88,8.7
浪漫忧郁的成人童话。,838406人评价,1990/美国/剧情奇幻爱情,剪刀手爱德华,89,8.7
10年的完美句点。,572392人评价,2011/美国英国/奇幻冒险,哈利·波特与死亡圣器(下),90,8.9
史诗大片的典范。,460511人评价,1995/美国/动作传记剧情历史战争,勇敢的心,91,8.9
我是一个演员。,709690人评价,1999/中国香港/喜剧剧情爱情,喜剧之王,92,8.8
最不可能的那个人永远是最可能的。,596731人评价,2003/美国/剧情悬疑惊悚,致命ID,93,8.8
约翰尼·德普的独角戏。,662795人评价,2003/美国/动作冒险奇幻,加勒比海盗,94,8.8
法式小清新。 ,797223人评价,2001/法国德国/喜剧爱情,天使爱美丽,95,8.7
关于连环杀人悬案的集体回忆。,499163人评价,2003/韩国/剧情动作犯罪悬疑惊悚,杀人回忆,96,8.8
每个人心中都有一座断背山。,557354人评价,2005/美国加拿大/剧情爱情同性家庭,断背山,97,8.8
人言可畏。,271824人评价,2012/丹麦瑞典/剧情,狩猎,98,9.1
沉醉在电影的情感和视听氛围中无法自拔。,488070人评价,2017/意大利法国巴西美国荷兰德国/剧情爱情同性,请以你的名字呼唤我,99,8.9
《我是山姆》的《美丽人生》。,396826人评价,2013/韩国/剧情喜剧家庭,7号房的礼物,100,8.9
人与自然的战争史诗。,410576人评价,1997/日本/动画奇幻冒险,幽灵公主,101,8.9
那些静得只能听见呼吸的日子里，你明白孤独即生活。,316833人评价,2014/日本/剧情,小森林 夏秋篇,102,9.0
一场华丽的意淫。,472916人评价,1994/中国大陆中国香港/剧情爱情,阳光灿烂的日子,103,8.8
梦的勾结。,304169人评价,2006/日本/动画悬疑科幻惊悚,红辣椒,104,9.0
深入内心的恐怖，出人意料的结局。,411562人评价,1999/美国/剧情悬疑惊悚,第六感,105,8.9
寂寞没有期限。,597327人评价,1994/中国香港/剧情爱情,重庆森林,106,8.7
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,460524人评价,2008/日本/剧情,入殓师,107,8.8
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,280854人评价,2015/日本/剧情,小森林 冬春篇,108,9.0
年度最佳date movie。,676006人评价,2014/美国/剧情犯罪悬疑惊悚,消失的爱人,109,8.7
缘分是个连绵词，最美不过一瞬。,451474人评价,1995/美国奥地利瑞士/剧情爱情,爱在黎明破晓前,110,8.8
华太师是黄霑，吴镇宇四大才子之一。,773449人评价,1993/中国香港/喜剧爱情古装,唐伯虎点秋香,111,8.6
我们都曾经是一一。,266465人评价,2000/中国台湾日本/剧情爱情家庭,一一,112,9.0
诺兰就是保证。,540024人评价,2012/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士崛起,113,8.8
少女情怀总是诗。,346041人评价,1995/日本/剧情爱情动画,侧耳倾听,114,8.9
穷尽一生，我们要学会的，不过是彼此拥抱。,352319人评价,2011/美国/剧情,超脱,115,8.9
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,410165人评价,1999/日本/剧情喜剧,菊次郎的夏天,116,8.8
两张绝世的脸。 ,545926人评价,1987/中国香港/爱情奇幻武侠古装,倩女幽魂,117,8.7
我的平常生活就是他人的幸福。,209610人评价,2004/日本/剧情,无人知晓,118,9.1
你是我最好的朋友，你是我唯一的朋友 。,343965人评价,2009/澳大利亚/剧情喜剧动画,玛丽和马克思,119,8.9
Balalala~~~,750149人评价,2014/美国/喜剧动作科幻动画冒险,超能陆战队,120,8.7
相逢只要一瞬间，等待却像是一辈子。,390976人评价,1996/中国香港/剧情爱情,甜蜜蜜,121,8.8
触不到的恋人。,378191人评价,2011/日本/剧情爱情动画奇幻,萤火之森,122,8.9
没有一人完全善，也没有一人完全恶。,553459人评价,2010/日本/剧情惊悚,告白,123,8.7
曾经的那段美好会沉淀为一辈子的记忆。,408337人评价,2010/日本/动画奇幻冒险,借东西的小人阿莉埃蒂,124,8.8
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,439289人评价,2003/美国/剧情家庭奇幻冒险,大鱼,125,8.8
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,474873人评价,2011/韩国/剧情喜剧,阳光姐妹淘,126,8.8
和谐的生活离不开摸头与被摸头。,575033人评价,2010/美国/动画奇幻冒险,驯龙高手,127,8.7
百看不厌。 ,490279人评价,1993/中国香港/喜剧奇幻武侠古装,射雕英雄传之东成西就,128,8.7
有时候幸福需要等一等。 ,408422人评价,2004/美国/喜剧剧情爱情,幸福终点站,129,8.8
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,380528人评价,2004/美国法国/剧情爱情,爱在日落黄昏时,130,8.8
警恶惩奸，维护世界和平这个任务就交给你了，好吗？,728452人评价,2004/中国大陆中国香港/动作喜剧犯罪奇幻,功夫,131,8.6
坏人的好总是比好人的好来得更感人。,197517人评价,1993/美国/剧情犯罪,完美的世界,132,9.1
恐怖分子的“秋菊打官司”。,480108人评价,2013/韩国/剧情犯罪悬疑,恐怖直播,133,8.8
土壤没有落叶不会肥沃，没有了你就不算人生。,109763人评价,2017/日本/纪录片,人生果实,134,9.5
Mr. I Don't Care其实也有Care的时候。,738912人评价,2010/美国法国/喜剧动画冒险,神偷奶爸,135,8.6
不要给它起名字，起了名字就有感情了。,487283人评价,2001/美国/儿童喜剧动画奇幻冒险,怪兽电力公司,136,8.7
传奇的年代，醉人的童话。,162633人评价,1983(中国大陆)/中国大陆/动画奇幻,天书奇谭,137,9.2
跨度十五年的欢乐与泪水。,377545人评价,2010/美国/喜剧动画奇幻冒险,玩具总动员3,138,8.8
爱是摈弃傲慢与偏见之后的曙光。,578945人评价,2005/法国英国美国/剧情爱情,傲慢与偏见,139,8.6
不一样的导演，不一样的哈利·波特。,437794人评价,2004/英国美国/奇幻冒险,哈利·波特与阿兹卡班的囚徒,140,8.7
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,606992人评价,2016/美国澳大利亚/剧情传记历史战争,血战钢锯岭,141,8.7
任何信念的力量，都无法改变命运。,261049人评价,1990/美国/剧情犯罪,教父3,142,8.9
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,418219人评价,2013/英国/喜剧爱情奇幻,时空恋旅人,143,8.7
揭露人性的丧尸题材力作。,868495人评价,2016/韩国/动作惊悚灾难,釜山行,144,8.5
动画片的圣经。,290258人评价,1984/日本/动画奇幻冒险,风之谷,145,8.9
想你时你在闹海。,186531人评价,1979/中国大陆/冒险动画奇幻,哪吒闹海,146,9.1
真相就在眼前。,381439人评价,2004/美国/悬疑惊悚恐怖,电锯惊魂,147,8.7
热血沸腾，那个低俗、性感的无耻混蛋又来了。,457416人评价,2012/美国/剧情动作西部冒险,被解救的姜戈,148,8.7
被上帝抛弃了的上帝之城。,238155人评价,2002/巴西法国/犯罪剧情,上帝之城,149,8.9
中国家庭的喜怒哀乐忍。,251635人评价,1993/中国台湾美国/剧情喜剧爱情同性家庭,喜宴,150,8.9
时代悲歌。,141578人评价,1954/日本/动作冒险剧情,七武士,151,9.2
英雄泪短，兄弟情长。 ,381013人评价,1986/中国香港/剧情动作犯罪,英雄本色,152,8.7
爱并不需要智商 。,229937人评价,2001/美国/剧情家庭,我是山姆,153,8.9
像吃了苏打饼一样干脆的电影。,323681人评价,2007/美国德国/动作悬疑惊悚,谍影重重3,154,8.8
魔法的密室之门已打开...,459463人评价,2002/美国英国德国/奇幻冒险,哈利·波特与密室,155,8.7
写给影迷，动漫迷和游戏迷的一封情书。,1060506人评价,2018/美国/动作科幻冒险,头号玩家,156,8.6
岁月流逝，来日可追。,474136人评价,2010/中国香港中国大陆/剧情家庭,岁月神偷,157,8.7
惠及一生的美丽。,293879人评价,2015/瑞典/剧情,一个叫欧维的男人决定去死,158,8.8
香港浪漫主义警匪动作片的巅峰之作。,305445人评价,1991/中国香港/剧情喜剧动作犯罪,纵横四海,159,8.8
老少皆宜，这就是好莱坞动画的魅力。,646385人评价,2013/美国/喜剧动画冒险,疯狂原始人,160,8.7
怼天怼地，你走后，她与世界为敌。,631739人评价,2017/美国英国/剧情犯罪,三块广告牌,161,8.7
Jared Leto的腿比女人还美！,339882人评价,2013/美国/剧情传记同性,达拉斯买家俱乐部,162,8.8
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,370636人评价,2014/中国大陆/剧情犯罪悬疑,心迷宫,163,8.7
一个针管引发的血案。,469062人评价,2000/美国/犯罪剧情悬疑惊悚,记忆碎片,164,8.6
当这个世界闭上双眼，他却敞开了怀抱。,225164人评价,2004/英国南非意大利/剧情传记历史战争,卢旺达饭店,165,8.9
偷情本没有这样美。,430455人评价,2000/中国香港/剧情爱情,花样年华,166,8.7
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,1042421人评价,2016/日本/剧情爱情动画,你的名字。,167,8.4
始于荒诞，止于更荒诞。,316294人评价,2014/阿根廷西班牙/剧情喜剧犯罪,荒蛮故事,168,8.8
幸福是生生不息，却难以触及的远。 ,332384人评价,1988/日本/动画剧情战争,萤火虫之墓,169,8.7
好的剧本是，就算你猜到了结局也猜不到全部。,205640人评价,1997/日本/动画奇幻惊悚,未麻的部屋,170,9.0
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,317389人评价,2003/美国澳大利亚/动作科幻,黑客帝国3：矩阵革命,171,8.8
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,590047人评价,2008/英国/剧情爱情,贫民窟的百万富翁,172,8.6
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,421361人评价,2014/美国/剧情音乐,爆裂鼓手,173,8.7
电影诗。,453572人评价,1994/中国香港中国台湾/剧情动作爱情武侠古装,东邪西毒,174,8.6
爱，是个动词。,542793人评价,2003/英国美国法国/喜剧剧情爱情,真爱至上,175,8.6
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,456481人评价,2014/英国美国/剧情传记战争同性,模仿游戏,176,8.7
养狗三日，便会对你终其一生。,140205人评价,1987/日本/剧情,忠犬八公物语,177,9.2
要做就做得狠一点，这样才能活下去。,256937人评价,2013/韩国/剧情犯罪,新世界,178,8.8
黑暗之美。,652991人评价,2010/美国/剧情惊悚,黑天鹅,179,8.6
愿我们都不用长大，每一座城堡都能永远存在。,438033人评价,2015/美国/喜剧动画冒险,头脑特工队,180,8.7
是枝裕和的家庭习作。,303129人评价,2015/日本/剧情家庭,海街日记,181,8.8
感情不分食草或者食肉。,258318人评价,2010/日本/剧情动画儿童,你看起来好像很好吃,182,8.9
迪士尼和皮克斯拿错剧本的产物。,400953人评价,2012/美国/喜剧动画奇幻冒险,无敌破坏王,183,8.7
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,319910人评价,1988/美国/剧情,雨人,184,8.7
松鼠才是角儿。,477728人评价,2002/美国/喜剧动画冒险,冰川时代,185,8.6
故事的反转与反转，分裂电影的始祖。,180657人评价,1960/美国/悬疑惊悚恐怖,惊魂记,186,9.0
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,499031人评价,2004/美国/剧情爱情,恋恋笔记本,187,8.5
我们组成了家。,618665人评价,2018/日本/剧情犯罪家庭,小偷家族,188,8.7
天使暂时离开。,215086人评价,1999/美国/犯罪剧情奇幻悬疑,绿里奇迹,189,8.8
不要企图在重复中寻找已经失去的爱。,598004人评价,2009/英国澳大利亚/剧情悬疑惊悚,恐怖游轮,190,8.5
有一些东西不应该被遗忘。,223950人评价,2015/中国大陆/纪录片,二十二,191,8.7
世界不完美，爱会有奇迹。,436936人评价,2017/美国中国香港/剧情儿童家庭,奇迹男孩,192,8.6
我们都有权利不与自己的过去和解。,368021人评价,2016/美国/剧情家庭,海边的曼彻斯特,193,8.6
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,301770人评价,2015/爱尔兰加拿大英国美国/剧情家庭,房间,194,8.8
中国版《两杆大烟枪》。,604132人评价,2006/中国大陆中国香港/喜剧犯罪,疯狂的石头,195,8.5
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,350629人评价,1989/日本/动画奇幻冒险,魔女宅急便,196,8.6
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,249213人评价,2013/美国希腊/剧情爱情,爱在午夜降临前,197,8.8
骨灰级歌舞片。,155822人评价,1952/美国/喜剧歌舞爱情,雨中曲,198,9.0
永远看不腻的喜剧。,178624人评价,1966/法国英国/喜剧战争,虎口脱险,199,8.9
对爱的执着，可以超越一切。,331606人评价,2001/美国/剧情科幻,人工智能,200,8.6
人生的N种可能性。,230230人评价,1950/日本/剧情犯罪悬疑,罗生门,201,8.8
少见的超越首部的续集，动作片中的经典。,265382人评价,1991/美国法国/动作科幻,终结者2：审判日,202,8.7
黑小鸭速效美白记。,791856人评价,2010/泰国/剧情喜剧爱情,初恋这件小事,203,8.4
现代科幻电影的开山之作，最伟大导演的最伟大影片。,215377人评价,1968/英国美国/科幻惊悚冒险,2001太空漫游,204,8.8
坚硬的信仰。,221436人评价,2004/中国大陆中国香港/剧情犯罪,可可西里,205,8.8
永远的小人物，伟大的卓别林。,96702人评价,1931/美国/喜剧剧情爱情,城市之光,206,9.3
中国式内在的美国电影。,209827人评价,1940/美国/剧情爱情战争,魂断蓝桥,207,8.8
大海啊，不全是水。,133504人评价,2009/法国瑞士西班牙美国阿联酋/纪录片,海洋,208,9.1
,392143人评价,2005/英国美国/悬疑奇幻冒险,哈利·波特与火焰杯,209,8.6
假戏真情，爱欲深海,516192人评价,2007/中国台湾中国大陆美国中国香港/剧情爱情情色,色，戒,210,8.5
弱者送给弱者的一刀。,194733人评价,1991/中国台湾/剧情犯罪,牯岭街少年杀人事件,211,8.8
传奇，不是每个人都可以拥有。,223216人评价,1994/美国/剧情爱情战争西部,燃情岁月,212,8.8
,422296人评价,1994/中国香港/剧情喜剧古装,九品芝麻官,213,8.5
嬉笑怒骂，调风动月。,333620人评价,1992/中国香港中国大陆/动作爱情武侠古装,新龙门客栈,214,8.6
